지점,지점명,일시,평균기온
108,서울,2013.8.1,28
108,서울,2013.8.2,27.4
108,서울,2013.8.3,28.9
108,서울,2013.8.4,28.3
108,서울,2013.8.5,27.7
108,서울,2013.8.6,26.4
108,서울,2013.8.7,28.7
108,서울,2013.8.8,29.3
108,서울,2013.8.9,29.2
108,서울,2013.8.10,28
108,서울,2013.8.11,28.7
108,서울,2013.8.12,29.3
108,서울,2013.8.13,29
108,서울,2013.8.14,28.6
108,서울,2013.8.15,28.7
108,서울,2013.8.16,28.7
108,서울,2013.8.17,28.7
108,서울,2013.8.18,28.3
108,서울,2013.8.19,28.2
108,서울,2013.8.20,27.4
108,서울,2013.8.21,28.8
108,서울,2013.8.22,29.3
108,서울,2013.8.23,25.7
108,서울,2013.8.24,26.6
108,서울,2013.8.25,27.1
108,서울,2013.8.26,27
108,서울,2013.8.27,25.6
108,서울,2013.8.28,26.4
108,서울,2013.8.29,25.5
108,서울,2013.8.30,25.1
108,서울,2013.8.31,24
108,서울,2014.8.1,30.2
108,서울,2014.8.2,31.4
108,서울,2014.8.3,26.5
108,서울,2014.8.4,26.4
108,서울,2014.8.5,26.6
108,서울,2014.8.6,24.4
108,서울,2014.8.7,24.7
108,서울,2014.8.8,26.1
108,서울,2014.8.9,26.5
108,서울,2014.8.10,23.4
108,서울,2014.8.11,23.7
108,서울,2014.8.12,25.8
108,서울,2014.8.13,24.2
108,서울,2014.8.14,22.3
108,서울,2014.8.15,24.9
108,서울,2014.8.16,26.1
108,서울,2014.8.17,24
108,서울,2014.8.18,22.3
108,서울,2014.8.19,22.3
108,서울,2014.8.20,24.8
108,서울,2014.8.21,23.1
108,서울,2014.8.22,24.7
108,서울,2014.8.23,25.2
108,서울,2014.8.24,25.6
108,서울,2014.8.25,25.9
108,서울,2014.8.26,25.4
108,서울,2014.8.27,24.6
108,서울,2014.8.28,25.1
108,서울,2014.8.29,25.2
108,서울,2014.8.30,24.6
108,서울,2014.8.31,24.1
108,서울,2015.8.1,28.2
108,서울,2015.8.2,26.5
108,서울,2015.8.3,27.9
108,서울,2015.8.4,27.5
108,서울,2015.8.5,28.6
108,서울,2015.8.6,29.3
108,서울,2015.8.7,28.9
108,서울,2015.8.8,26.6
108,서울,2015.8.9,26.7
108,서울,2015.8.10,27
108,서울,2015.8.11,26.8
108,서울,2015.8.12,27.3
108,서울,2015.8.13,26.5
108,서울,2015.8.14,26.9
108,서울,2015.8.15,27.1
108,서울,2015.8.16,25.8
108,서울,2015.8.17,26.6
108,서울,2015.8.18,27.9
108,서울,2015.8.19,26.8
108,서울,2015.8.20,25.4
108,서울,2015.8.21,25.2
108,서울,2015.8.22,25.5
108,서울,2015.8.23,26.3
108,서울,2015.8.24,26.3
108,서울,2015.8.25,21.7
108,서울,2015.8.26,21.9
108,서울,2015.8.27,24.7
108,서울,2015.8.28,23.2
108,서울,2015.8.29,24.4
108,서울,2015.8.30,24.9
108,서울,2015.8.31,25.9
108,서울,2016.8.1,28.4
108,서울,2016.8.2,27.2
108,서울,2016.8.3,29.1
108,서울,2016.8.4,30.7
108,서울,2016.8.5,31.2
108,서울,2016.8.6,30.5
108,서울,2016.8.7,30.6
108,서울,2016.8.8,30.5
108,서울,2016.8.9,29.3
108,서울,2016.8.10,29.4
108,서울,2016.8.11,30.5
108,서울,2016.8.12,30.4
108,서울,2016.8.13,30.2
108,서울,2016.8.14,28.9
108,서울,2016.8.15,29.1
108,서울,2016.8.16,29.3
108,서울,2016.8.17,29.9
108,서울,2016.8.18,29.9
108,서울,2016.8.19,28.9
108,서울,2016.8.20,30.1
108,서울,2016.8.21,30.7
108,서울,2016.8.22,30.7
108,서울,2016.8.23,28.3
108,서울,2016.8.24,29.1
108,서울,2016.8.25,27.1
108,서울,2016.8.26,23
108,서울,2016.8.27,23.4
108,서울,2016.8.28,21
108,서울,2016.8.29,22.2
108,서울,2016.8.30,20.6
108,서울,2016.8.31,17.7
108,서울,2017.8.1,28.6
108,서울,2017.8.2,30
108,서울,2017.8.3,30.2
108,서울,2017.8.4,30.3
108,서울,2017.8.5,31.4
108,서울,2017.8.6,29.8
108,서울,2017.8.7,29.2
108,서울,2017.8.8,28.2
108,서울,2017.8.9,27.6
108,서울,2017.8.10,24.8
108,서울,2017.8.11,27
108,서울,2017.8.12,27.8
108,서울,2017.8.13,26.3
108,서울,2017.8.14,24.6
108,서울,2017.8.15,21.9
108,서울,2017.8.16,23.3
108,서울,2017.8.17,24.8
108,서울,2017.8.18,26.3
108,서울,2017.8.19,26.1
108,서울,2017.8.20,23.2
108,서울,2017.8.21,25.8
108,서울,2017.8.22,27.3
108,서울,2017.8.23,27.2
108,서울,2017.8.24,26.5
108,서울,2017.8.25,25.3
108,서울,2017.8.26,24.2
108,서울,2017.8.27,22.7
108,서울,2017.8.28,21.5
108,서울,2017.8.29,19.5
108,서울,2017.8.30,19.8
108,서울,2017.8.31,22.2
108,서울,2018.8.1,33.6
108,서울,2018.8.2,33.7
108,서울,2018.8.3,33.1
108,서울,2018.8.4,31.1
108,서울,2018.8.5,30
108,서울,2018.8.6,30.5
108,서울,2018.8.7,30.5
108,서울,2018.8.8,31
108,서울,2018.8.9,28.8
108,서울,2018.8.10,30.7
108,서울,2018.8.11,31
108,서울,2018.8.12,30.6
108,서울,2018.8.13,30.5
108,서울,2018.8.14,31.7
108,서울,2018.8.15,31.7
108,서울,2018.8.16,29.9
108,서울,2018.8.17,27.2
108,서울,2018.8.18,26.7
108,서울,2018.8.19,28.2
108,서울,2018.8.20,29.1
108,서울,2018.8.21,26.6
108,서울,2018.8.22,30.7
108,서울,2018.8.23,29.4
108,서울,2018.8.24,24.4
108,서울,2018.8.25,25.2
108,서울,2018.8.26,23.2
108,서울,2018.8.27,22.7
108,서울,2018.8.28,23.7
108,서울,2018.8.29,25.2
108,서울,2018.8.30,25.3
108,서울,2018.8.31,25.6
108,서울,2019.8.1,26.3
108,서울,2019.8.2,28.4
108,서울,2019.8.3,29.4
108,서울,2019.8.4,28.3
108,서울,2019.8.5,30.5
108,서울,2019.8.6,31.6
108,서울,2019.8.7,26.9
108,서울,2019.8.8,28.9
108,서울,2019.8.9,29.8
108,서울,2019.8.10,31.5
108,서울,2019.8.11,30.4
108,서울,2019.8.12,26.6
108,서울,2019.8.13,29.2
108,서울,2019.8.14,30.4
108,서울,2019.8.15,25.9
108,서울,2019.8.16,25.9
108,서울,2019.8.17,25.9
108,서울,2019.8.18,25.6
108,서울,2019.8.19,26.3
108,서울,2019.8.20,28.2
108,서울,2019.8.21,27
108,서울,2019.8.22,26.9
108,서울,2019.8.23,26.2
108,서울,2019.8.24,24.1
108,서울,2019.8.25,25
108,서울,2019.8.26,26.4
108,서울,2019.8.27,25.7
108,서울,2019.8.28,26.1
108,서울,2019.8.29,23.4
108,서울,2019.8.30,22.6
108,서울,2019.8.31,23.5
108,서울,2020.8.1,25.3
108,서울,2020.8.2,24.9
108,서울,2020.8.3,25
108,서울,2020.8.4,27
108,서울,2020.8.5,26.5
108,서울,2020.8.6,24.1
108,서울,2020.8.7,24.3
108,서울,2020.8.8,24.2
108,서울,2020.8.9,24.9
108,서울,2020.8.10,26.5
108,서울,2020.8.11,24.6
108,서울,2020.8.12,27.2
108,서울,2020.8.13,28
108,서울,2020.8.14,27.1
108,서울,2020.8.15,26.1
108,서울,2020.8.16,27.4
108,서울,2020.8.17,28.2
108,서울,2020.8.18,27.5
108,서울,2020.8.19,27.1
108,서울,2020.8.20,27.7
108,서울,2020.8.21,26.6
108,서울,2020.8.22,24.3
108,서울,2020.8.23,25.3
108,서울,2020.8.24,27.8
108,서울,2020.8.25,29.9
108,서울,2020.8.26,30.2
108,서울,2020.8.27,27.1
108,서울,2020.8.28,27.3
108,서울,2020.8.29,26.8
108,서울,2020.8.30,26.8
108,서울,2020.8.31,26.4
108,서울,2021.8.1,27.1
108,서울,2021.8.2,26.5
108,서울,2021.8.3,28
108,서울,2021.8.4,28.9
108,서울,2021.8.5,29.4
108,서울,2021.8.6,28.1
108,서울,2021.8.7,28
108,서울,2021.8.8,26.8
108,서울,2021.8.9,28.3
108,서울,2021.8.10,27.7
108,서울,2021.8.11,27.4
108,서울,2021.8.12,26.8
108,서울,2021.8.13,26.6
108,서울,2021.8.14,26.1
108,서울,2021.8.15,26.9
108,서울,2021.8.16,27.3
108,서울,2021.8.17,25.9
108,서울,2021.8.18,24.3
108,서울,2021.8.19,26
108,서울,2021.8.20,26.6
108,서울,2021.8.21,23.8
108,서울,2021.8.22,24.4
108,서울,2021.8.23,22.4
108,서울,2021.8.24,23.4
108,서울,2021.8.25,25
108,서울,2021.8.26,25.5
108,서울,2021.8.27,22.4
108,서울,2021.8.28,23.6
108,서울,2021.8.29,23.7
108,서울,2021.8.30,24.2
108,서울,2021.8.31,20.5
108,서울,2022.8.1,28.6
108,서울,2022.8.2,26.8
108,서울,2022.8.3,27.1
108,서울,2022.8.4,28.9
108,서울,2022.8.5,29.4
108,서울,2022.8.6,28.7
108,서울,2022.8.7,28.9
108,서울,2022.8.8,26.8
108,서울,2022.8.9,25.1
108,서울,2022.8.10,24.7
108,서울,2022.8.11,25
108,서울,2022.8.12,27
108,서울,2022.8.13,25.8
108,서울,2022.8.14,27.6
108,서울,2022.8.15,28.1
108,서울,2022.8.16,26.7
108,서울,2022.8.17,26
108,서울,2022.8.18,25.6
108,서울,2022.8.19,26
108,서울,2022.8.20,28.2
108,서울,2022.8.21,28.1
108,서울,2022.8.22,26.8
108,서울,2022.8.23,25.4
108,서울,2022.8.24,24.8
108,서울,2022.8.25,22.2
108,서울,2022.8.26,23.8
108,서울,2022.8.27,21.5
108,서울,2022.8.28,22.6
108,서울,2022.8.29,21
108,서울,2022.8.30,19.1
108,서울,2022.8.31,21.7
108,서울,2023.8.1,29.9
108,서울,2023.8.2,29.7
108,서울,2023.8.3,29.5
108,서울,2023.8.4,30
108,서울,2023.8.5,30.3
108,서울,2023.8.6,29.8
108,서울,2023.8.7,30.4
108,서울,2023.8.8,30.9
108,서울,2023.8.9,28.3
108,서울,2023.8.10,22.2
108,서울,2023.8.11,23.5
108,서울,2023.8.12,23.3
108,서울,2023.8.13,27
108,서울,2023.8.14,28.1
108,서울,2023.8.15,28.6
108,서울,2023.8.16,27.3
108,서울,2023.8.17,28.2
108,서울,2023.8.18,29.1
108,서울,2023.8.19,29.1
108,서울,2023.8.20,28.3
108,서울,2023.8.21,29.5
108,서울,2023.8.22,27.6
108,서울,2023.8.23,24.8
108,서울,2023.8.24,25.1
108,서울,2023.8.25,26.5
108,서울,2023.8.26,26.4
108,서울,2023.8.27,26.1
108,서울,2023.8.28,22.7
108,서울,2023.8.29,23.9
108,서울,2023.8.30,22.8
108,서울,2023.8.31,23.9